Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.746,0.635,0.697,0.532
person,2693,10777,0.839,0.76,0.848,0.641
bicycle,149,314,0.746,0.6,0.669,0.431
car,535,1918,0.782,0.661,0.751,0.534
motorcycle,159,367,0.808,0.719,0.809,0.576
airplane,97,143,0.868,0.874,0.927,0.802
bus,189,283,0.834,0.83,0.89,0.776
train,157,190,0.905,0.905,0.954,0.799
truck,250,414,0.662,0.546,0.642,0.476
boat,121,424,0.76,0.535,0.621,0.37
traffic light,191,634,0.73,0.469,0.572,0.323
fire hydrant,86,101,0.93,0.812,0.917,0.763
stop sign,69,75,0.898,0.68,0.802,0.725
parking meter,37,60,0.761,0.667,0.719,0.574
bench,235,411,0.676,0.422,0.496,0.365
bird,125,427,0.805,0.511,0.616,0.431
cat,184,202,0.875,0.916,0.945,0.805
dog,177,218,0.836,0.849,0.883,0.777
horse,128,272,0.859,0.842,0.91,0.728
sheep,65,354,0.779,0.765,0.814,0.607
cow,87,372,0.81,0.763,0.851,0.682
elephant,89,252,0.834,0.901,0.903,0.764
bear,49,71,0.906,0.944,0.953,0.817
zebra,85,266,0.879,0.898,0.95,0.783
giraffe,101,232,0.925,0.922,0.946,0.8
backpack,228,371,0.588,0.35,0.397,0.234
umbrella,174,407,0.678,0.663,0.71,0.523
handbag,292,540,0.589,0.359,0.406,0.248
tie,145,252,0.815,0.578,0.666,0.475
suitcase,105,299,0.682,0.635,0.736,0.534
frisbee,84,115,0.941,0.896,0.927,0.771
skis,120,241,0.769,0.51,0.588,0.355
snowboard,49,69,0.739,0.536,0.648,0.478
sports ball,169,260,0.776,0.631,0.686,0.5
kite,91,327,0.714,0.645,0.704,0.519
baseball bat,97,145,0.778,0.677,0.773,0.537
baseball glove,100,148,0.798,0.667,0.732,0.479
skateboard,127,179,0.855,0.844,0.855,0.659
surfboard,149,267,0.824,0.652,0.729,0.516
tennis racket,167,225,0.829,0.859,0.896,0.657
bottle,379,1013,0.701,0.548,0.644,0.467
wine glass,110,341,0.792,0.57,0.679,0.474
cup,390,895,0.72,0.603,0.679,0.525
fork,155,215,0.688,0.604,0.688,0.523
knife,181,325,0.644,0.382,0.455,0.306
spoon,153,253,0.562,0.431,0.441,0.31
bowl,314,623,0.681,0.616,0.656,0.521
banana,103,370,0.601,0.341,0.451,0.297
apple,76,236,0.564,0.364,0.379,0.275
sandwich,98,177,0.662,0.559,0.645,0.503
orange,85,285,0.571,0.432,0.477,0.379
broccoli,71,312,0.551,0.41,0.459,0.288
carrot,81,365,0.551,0.367,0.411,0.273
hot dog,51,125,0.721,0.48,0.603,0.473
pizza,153,284,0.754,0.768,0.789,0.629
donut,62,328,0.696,0.629,0.706,0.569
cake,124,310,0.702,0.623,0.668,0.483
chair,580,1771,0.709,0.521,0.614,0.431
couch,195,261,0.656,0.621,0.676,0.547
potted plant,172,342,0.618,0.503,0.548,0.36
bed,149,163,0.724,0.707,0.745,0.584
dining table,501,695,0.573,0.505,0.521,0.376
toilet,149,179,0.812,0.81,0.865,0.729
tv,207,288,0.816,0.772,0.842,0.677
laptop,183,231,0.782,0.784,0.86,0.752
mouse,88,106,0.823,0.79,0.835,0.659
remote,145,283,0.701,0.569,0.667,0.462
keyboard,106,153,0.779,0.693,0.791,0.615
cell phone,214,262,0.714,0.607,0.675,0.482
microwave,54,55,0.768,0.8,0.843,0.709
oven,115,143,0.668,0.59,0.629,0.45
toaster,8,9,0.613,0.667,0.563,0.448
sink,187,225,0.688,0.649,0.685,0.472
refrigerator,101,126,0.791,0.778,0.83,0.727
book,230,1129,0.62,0.188,0.336,0.198
clock,204,267,0.806,0.704,0.766,0.577
vase,137,274,0.694,0.584,0.646,0.482
scissors,28,36,0.689,0.472,0.528,0.432
teddy bear,94,190,0.72,0.717,0.741,0.611
hair drier,9,11,1.0,0.209,0.296,0.236
toothbrush,34,57,0.681,0.526,0.583,0.45
