Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.741,0.615,0.681,0.514
person,2693,10777,0.837,0.746,0.841,0.63
bicycle,149,314,0.785,0.546,0.654,0.418
car,535,1918,0.779,0.654,0.738,0.517
motorcycle,159,367,0.782,0.712,0.795,0.551
airplane,97,143,0.904,0.867,0.927,0.794
bus,189,283,0.852,0.814,0.888,0.769
train,157,190,0.891,0.879,0.938,0.76
truck,250,414,0.652,0.529,0.618,0.461
boat,121,424,0.728,0.495,0.593,0.354
traffic light,191,634,0.728,0.448,0.558,0.312
fire hydrant,86,101,0.932,0.815,0.904,0.749
stop sign,69,75,0.782,0.68,0.789,0.716
parking meter,37,60,0.786,0.633,0.679,0.528
bench,235,411,0.662,0.399,0.47,0.34
bird,125,427,0.796,0.482,0.587,0.407
cat,184,202,0.888,0.896,0.945,0.806
dog,177,218,0.801,0.835,0.854,0.75
horse,128,272,0.866,0.82,0.901,0.719
sheep,65,354,0.739,0.782,0.818,0.627
cow,87,372,0.821,0.739,0.853,0.668
elephant,89,252,0.783,0.903,0.884,0.735
bear,49,71,0.881,0.944,0.937,0.798
zebra,85,266,0.86,0.88,0.94,0.775
giraffe,101,232,0.932,0.922,0.952,0.797
backpack,228,371,0.592,0.288,0.377,0.219
umbrella,174,407,0.726,0.641,0.716,0.516
handbag,292,540,0.59,0.322,0.39,0.236
tie,145,252,0.77,0.52,0.631,0.44
suitcase,105,299,0.733,0.633,0.729,0.515
frisbee,84,115,0.902,0.887,0.905,0.747
skis,120,241,0.786,0.487,0.599,0.358
snowboard,49,69,0.73,0.551,0.624,0.477
sports ball,169,260,0.813,0.612,0.67,0.491
kite,91,327,0.688,0.606,0.701,0.507
baseball bat,97,145,0.733,0.628,0.715,0.473
baseball glove,100,148,0.86,0.625,0.742,0.467
skateboard,127,179,0.846,0.832,0.843,0.658
surfboard,149,267,0.837,0.622,0.701,0.485
tennis racket,167,225,0.827,0.796,0.884,0.63
bottle,379,1013,0.702,0.556,0.63,0.455
wine glass,110,341,0.779,0.578,0.679,0.469
cup,390,895,0.702,0.583,0.668,0.506
fork,155,215,0.714,0.609,0.687,0.5
knife,181,325,0.608,0.348,0.418,0.28
spoon,153,253,0.563,0.431,0.44,0.311
bowl,314,623,0.683,0.584,0.649,0.502
banana,103,370,0.575,0.357,0.442,0.292
apple,76,236,0.498,0.322,0.327,0.23
sandwich,98,177,0.704,0.552,0.601,0.488
orange,85,285,0.577,0.412,0.443,0.345
broccoli,71,312,0.557,0.401,0.463,0.282
carrot,81,365,0.496,0.34,0.387,0.265
hot dog,51,125,0.76,0.552,0.604,0.479
pizza,153,284,0.785,0.715,0.778,0.621
donut,62,328,0.692,0.613,0.707,0.568
cake,124,310,0.686,0.577,0.642,0.445
chair,580,1771,0.704,0.491,0.587,0.398
couch,195,261,0.665,0.625,0.677,0.536
potted plant,172,342,0.621,0.488,0.564,0.368
bed,149,163,0.692,0.675,0.73,0.55
dining table,501,695,0.572,0.485,0.504,0.355
toilet,149,179,0.798,0.804,0.85,0.718
tv,207,288,0.821,0.762,0.829,0.659
laptop,183,231,0.787,0.762,0.833,0.725
mouse,88,106,0.798,0.792,0.831,0.661
remote,145,283,0.699,0.566,0.62,0.417
keyboard,106,153,0.74,0.641,0.755,0.598
cell phone,214,262,0.695,0.573,0.62,0.44
microwave,54,55,0.715,0.782,0.823,0.671
oven,115,143,0.644,0.556,0.612,0.446
toaster,8,9,0.63,0.759,0.609,0.472
sink,187,225,0.684,0.596,0.665,0.458
refrigerator,101,126,0.81,0.778,0.824,0.722
book,230,1129,0.576,0.173,0.308,0.183
clock,204,267,0.831,0.701,0.763,0.559
vase,137,274,0.675,0.544,0.613,0.45
scissors,28,36,0.813,0.444,0.514,0.415
teddy bear,94,190,0.747,0.711,0.743,0.589
hair drier,9,11,1.0,0.0,0.234,0.13
toothbrush,34,57,0.588,0.491,0.502,0.384
