Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.653,0.504,0.549,0.392
person,2693,10777,0.76,0.675,0.753,0.523
bicycle,149,314,0.692,0.404,0.478,0.275
car,535,1918,0.658,0.529,0.582,0.375
motorcycle,159,367,0.766,0.599,0.674,0.443
airplane,97,143,0.803,0.797,0.869,0.686
bus,189,283,0.772,0.707,0.773,0.65
train,157,190,0.828,0.81,0.863,0.681
truck,250,414,0.585,0.415,0.477,0.322
boat,121,424,0.583,0.353,0.414,0.22
traffic light,191,634,0.644,0.345,0.415,0.217
fire hydrant,86,101,0.868,0.743,0.806,0.638
stop sign,69,75,0.712,0.613,0.662,0.599
parking meter,37,60,0.699,0.55,0.613,0.467
bench,235,411,0.575,0.28,0.325,0.216
bird,125,427,0.619,0.382,0.441,0.28
cat,184,202,0.782,0.861,0.882,0.701
dog,177,218,0.765,0.747,0.779,0.649
horse,128,272,0.765,0.707,0.77,0.592
sheep,65,354,0.702,0.694,0.745,0.506
cow,87,372,0.714,0.677,0.732,0.521
elephant,89,252,0.729,0.837,0.842,0.655
bear,49,71,0.854,0.859,0.911,0.745
zebra,85,266,0.804,0.838,0.893,0.674
giraffe,101,232,0.859,0.845,0.89,0.7
backpack,228,371,0.492,0.197,0.202,0.106
umbrella,174,407,0.651,0.536,0.582,0.391
handbag,292,540,0.479,0.128,0.166,0.0886
tie,145,252,0.627,0.413,0.448,0.279
suitcase,105,299,0.635,0.472,0.536,0.374
frisbee,84,115,0.789,0.783,0.814,0.611
skis,120,241,0.578,0.336,0.396,0.212
snowboard,49,69,0.609,0.391,0.404,0.277
sports ball,169,260,0.691,0.488,0.511,0.367
kite,91,327,0.639,0.542,0.599,0.411
baseball bat,97,145,0.571,0.393,0.417,0.232
baseball glove,100,148,0.682,0.5,0.539,0.32
skateboard,127,179,0.706,0.648,0.672,0.468
surfboard,149,267,0.645,0.498,0.54,0.343
tennis racket,167,225,0.747,0.671,0.698,0.418
bottle,379,1013,0.621,0.414,0.47,0.311
wine glass,110,341,0.706,0.334,0.427,0.279
cup,390,895,0.582,0.449,0.502,0.362
fork,155,215,0.582,0.335,0.385,0.268
knife,181,325,0.47,0.153,0.204,0.123
spoon,153,253,0.397,0.154,0.162,0.099
bowl,314,623,0.61,0.496,0.527,0.391
banana,103,370,0.499,0.297,0.362,0.224
apple,76,236,0.398,0.237,0.235,0.167
sandwich,98,177,0.563,0.502,0.483,0.361
orange,85,285,0.469,0.396,0.388,0.301
broccoli,71,312,0.498,0.356,0.385,0.213
carrot,81,365,0.436,0.323,0.289,0.18
hot dog,51,125,0.649,0.464,0.494,0.356
pizza,153,284,0.702,0.641,0.69,0.523
donut,62,328,0.61,0.51,0.548,0.427
cake,124,310,0.601,0.439,0.52,0.357
chair,580,1771,0.591,0.362,0.419,0.265
couch,195,261,0.623,0.582,0.634,0.476
potted plant,172,342,0.551,0.399,0.396,0.227
bed,149,163,0.627,0.619,0.661,0.482
dining table,501,695,0.545,0.449,0.449,0.312
toilet,149,179,0.732,0.763,0.822,0.668
tv,207,288,0.721,0.67,0.725,0.547
laptop,183,231,0.668,0.68,0.713,0.589
mouse,88,106,0.716,0.717,0.742,0.541
remote,145,283,0.504,0.279,0.322,0.187
keyboard,106,153,0.638,0.582,0.641,0.481
cell phone,214,262,0.587,0.431,0.44,0.304
microwave,54,55,0.68,0.6,0.669,0.519
oven,115,143,0.638,0.494,0.556,0.383
toaster,8,9,1.0,0.427,0.691,0.455
sink,187,225,0.662,0.511,0.541,0.366
refrigerator,101,126,0.768,0.643,0.724,0.573
book,230,1129,0.505,0.119,0.217,0.108
clock,204,267,0.754,0.625,0.657,0.459
vase,137,274,0.589,0.478,0.478,0.327
scissors,28,36,0.529,0.306,0.326,0.276
teddy bear,94,190,0.687,0.574,0.627,0.458
hair drier,9,11,1.0,0.0,0.00103,0.000207
toothbrush,34,57,0.468,0.281,0.252,0.164
