Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.704,0.577,0.634,0.467
person,2693,10777,0.809,0.722,0.807,0.586
bicycle,149,314,0.74,0.478,0.569,0.345
car,535,1918,0.731,0.593,0.678,0.457
motorcycle,159,367,0.783,0.668,0.749,0.499
airplane,97,143,0.87,0.886,0.935,0.762
bus,189,283,0.843,0.77,0.858,0.731
train,157,190,0.872,0.862,0.933,0.763
truck,250,414,0.625,0.5,0.58,0.414
boat,121,424,0.681,0.419,0.519,0.302
traffic light,191,634,0.685,0.426,0.497,0.266
fire hydrant,86,101,0.882,0.792,0.868,0.709
stop sign,69,75,0.786,0.68,0.731,0.667
parking meter,37,60,0.75,0.65,0.713,0.563
bench,235,411,0.563,0.36,0.396,0.277
bird,125,427,0.719,0.466,0.533,0.362
cat,184,202,0.869,0.881,0.922,0.762
dog,177,218,0.807,0.789,0.82,0.714
horse,128,272,0.81,0.783,0.84,0.656
sheep,65,354,0.738,0.734,0.785,0.576
cow,87,372,0.798,0.744,0.795,0.593
elephant,89,252,0.774,0.882,0.878,0.698
bear,49,71,0.865,0.904,0.932,0.786
zebra,85,266,0.87,0.846,0.915,0.731
giraffe,101,232,0.908,0.892,0.931,0.761
backpack,228,371,0.512,0.245,0.281,0.159
umbrella,174,407,0.714,0.6,0.659,0.461
handbag,292,540,0.593,0.246,0.305,0.17
tie,145,252,0.759,0.44,0.538,0.357
suitcase,105,299,0.707,0.579,0.674,0.462
frisbee,84,115,0.859,0.817,0.86,0.683
skis,120,241,0.677,0.436,0.501,0.288
snowboard,49,69,0.701,0.476,0.571,0.436
sports ball,169,260,0.763,0.605,0.64,0.459
kite,91,327,0.665,0.571,0.623,0.437
baseball bat,97,145,0.722,0.545,0.595,0.37
baseball glove,100,148,0.795,0.576,0.652,0.389
skateboard,127,179,0.82,0.771,0.792,0.596
surfboard,149,267,0.766,0.581,0.64,0.421
tennis racket,167,225,0.775,0.729,0.799,0.532
bottle,379,1013,0.677,0.507,0.576,0.393
wine glass,110,341,0.769,0.472,0.579,0.387
cup,390,895,0.651,0.534,0.605,0.452
fork,155,215,0.661,0.474,0.565,0.405
knife,181,325,0.569,0.262,0.326,0.203
spoon,153,253,0.517,0.285,0.314,0.212
bowl,314,623,0.662,0.56,0.603,0.45
banana,103,370,0.547,0.324,0.423,0.276
apple,76,236,0.513,0.33,0.32,0.222
sandwich,98,177,0.579,0.52,0.555,0.421
orange,85,285,0.493,0.4,0.419,0.325
broccoli,71,312,0.552,0.385,0.401,0.239
carrot,81,365,0.492,0.351,0.37,0.238
hot dog,51,125,0.651,0.472,0.541,0.413
pizza,153,284,0.757,0.683,0.745,0.571
donut,62,328,0.656,0.57,0.617,0.486
cake,124,310,0.682,0.555,0.626,0.432
chair,580,1771,0.661,0.44,0.519,0.344
couch,195,261,0.649,0.617,0.671,0.533
potted plant,172,342,0.571,0.442,0.492,0.307
bed,149,163,0.668,0.62,0.693,0.503
dining table,501,695,0.584,0.468,0.5,0.354
toilet,149,179,0.785,0.835,0.851,0.709
tv,207,288,0.81,0.712,0.816,0.629
laptop,183,231,0.769,0.735,0.796,0.668
mouse,88,106,0.79,0.745,0.791,0.618
remote,145,283,0.648,0.392,0.494,0.318
keyboard,106,153,0.708,0.614,0.722,0.549
cell phone,214,262,0.691,0.504,0.568,0.38
microwave,54,55,0.723,0.709,0.784,0.637
oven,115,143,0.657,0.563,0.621,0.447
toaster,8,9,0.661,0.778,0.785,0.573
sink,187,225,0.7,0.569,0.629,0.43
refrigerator,101,126,0.796,0.738,0.799,0.677
book,230,1129,0.541,0.151,0.252,0.134
clock,204,267,0.784,0.697,0.748,0.534
vase,137,274,0.671,0.588,0.588,0.422
scissors,28,36,0.757,0.444,0.477,0.381
teddy bear,94,190,0.733,0.668,0.718,0.551
hair drier,9,11,0.363,0.066,0.0829,0.0443
toothbrush,34,57,0.602,0.404,0.458,0.327
