Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.737,0.658,0.713,0.547
person,2693,10777,0.835,0.775,0.858,0.656
bicycle,149,314,0.732,0.627,0.679,0.45
car,535,1918,0.771,0.702,0.771,0.552
motorcycle,159,367,0.795,0.771,0.822,0.59
airplane,97,143,0.865,0.902,0.934,0.806
bus,189,283,0.859,0.841,0.906,0.801
train,157,190,0.929,0.892,0.957,0.782
truck,250,414,0.672,0.56,0.648,0.492
boat,121,424,0.746,0.574,0.635,0.382
traffic light,191,634,0.75,0.494,0.606,0.343
fire hydrant,86,101,0.936,0.871,0.93,0.797
stop sign,69,75,0.824,0.733,0.803,0.733
parking meter,37,60,0.807,0.683,0.726,0.566
bench,235,411,0.647,0.445,0.507,0.373
bird,125,427,0.779,0.508,0.635,0.446
cat,184,202,0.922,0.916,0.949,0.819
dog,177,218,0.792,0.862,0.882,0.778
horse,128,272,0.863,0.875,0.923,0.725
sheep,65,354,0.772,0.788,0.843,0.649
cow,87,372,0.834,0.796,0.874,0.698
elephant,89,252,0.831,0.913,0.905,0.77
bear,49,71,0.922,0.972,0.98,0.837
zebra,85,266,0.879,0.895,0.95,0.792
giraffe,101,232,0.933,0.94,0.956,0.82
backpack,228,371,0.566,0.366,0.421,0.239
umbrella,174,407,0.687,0.693,0.751,0.558
handbag,292,540,0.571,0.406,0.437,0.268
tie,145,252,0.768,0.591,0.681,0.492
suitcase,105,299,0.7,0.659,0.737,0.54
frisbee,84,115,0.928,0.903,0.931,0.774
skis,120,241,0.725,0.527,0.619,0.393
snowboard,49,69,0.743,0.565,0.646,0.484
sports ball,169,260,0.829,0.654,0.715,0.525
kite,91,327,0.705,0.644,0.712,0.522
baseball bat,97,145,0.75,0.745,0.786,0.548
baseball glove,100,148,0.822,0.689,0.746,0.472
skateboard,127,179,0.847,0.838,0.85,0.681
surfboard,149,267,0.827,0.689,0.777,0.557
tennis racket,167,225,0.898,0.884,0.923,0.708
bottle,379,1013,0.702,0.581,0.673,0.494
wine glass,110,341,0.788,0.631,0.7,0.499
cup,390,895,0.704,0.623,0.704,0.555
fork,155,215,0.683,0.681,0.75,0.577
knife,181,325,0.659,0.449,0.53,0.356
spoon,153,253,0.541,0.452,0.468,0.346
bowl,314,623,0.69,0.621,0.669,0.531
banana,103,370,0.564,0.378,0.47,0.312
apple,76,236,0.499,0.354,0.349,0.25
sandwich,98,177,0.666,0.587,0.632,0.505
orange,85,285,0.554,0.436,0.477,0.386
broccoli,71,312,0.559,0.413,0.471,0.297
carrot,81,365,0.571,0.38,0.44,0.29
hot dog,51,125,0.725,0.552,0.637,0.509
pizza,153,284,0.754,0.757,0.807,0.639
donut,62,328,0.747,0.649,0.722,0.587
cake,124,310,0.696,0.661,0.706,0.502
chair,580,1771,0.709,0.56,0.642,0.451
couch,195,261,0.667,0.637,0.705,0.584
potted plant,172,342,0.63,0.547,0.57,0.37
bed,149,163,0.722,0.693,0.768,0.6
dining table,501,695,0.578,0.537,0.534,0.385
toilet,149,179,0.819,0.849,0.882,0.739
tv,207,288,0.822,0.799,0.854,0.684
laptop,183,231,0.844,0.796,0.862,0.758
mouse,88,106,0.857,0.84,0.861,0.687
remote,145,283,0.718,0.618,0.693,0.479
keyboard,106,153,0.716,0.693,0.764,0.609
cell phone,214,262,0.718,0.615,0.672,0.496
microwave,54,55,0.741,0.818,0.845,0.696
oven,115,143,0.634,0.594,0.635,0.465
toaster,8,9,0.538,0.667,0.641,0.496
sink,187,225,0.678,0.655,0.683,0.476
refrigerator,101,126,0.765,0.786,0.84,0.738
book,230,1129,0.591,0.222,0.342,0.209
clock,204,267,0.806,0.729,0.777,0.578
vase,137,274,0.651,0.584,0.629,0.458
scissors,28,36,0.569,0.44,0.51,0.438
teddy bear,94,190,0.747,0.695,0.76,0.621
hair drier,9,11,0.637,0.364,0.374,0.248
toothbrush,34,57,0.668,0.544,0.566,0.46
