Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.74,0.634,0.695,0.529
person,2693,10777,0.826,0.761,0.846,0.639
bicycle,149,314,0.783,0.557,0.669,0.428
car,535,1918,0.782,0.672,0.748,0.527
motorcycle,159,367,0.788,0.73,0.802,0.567
airplane,97,143,0.89,0.888,0.934,0.789
bus,189,283,0.828,0.813,0.881,0.77
train,157,190,0.874,0.911,0.946,0.787
truck,250,414,0.67,0.539,0.639,0.48
boat,121,424,0.703,0.486,0.592,0.361
traffic light,191,634,0.744,0.492,0.581,0.327
fire hydrant,86,101,0.95,0.861,0.909,0.762
stop sign,69,75,0.813,0.76,0.803,0.729
parking meter,37,60,0.801,0.672,0.714,0.552
bench,235,411,0.67,0.448,0.488,0.364
bird,125,427,0.792,0.534,0.619,0.436
cat,184,202,0.917,0.932,0.955,0.83
dog,177,218,0.863,0.835,0.87,0.772
horse,128,272,0.855,0.846,0.919,0.728
sheep,65,354,0.751,0.788,0.831,0.644
cow,87,372,0.832,0.815,0.881,0.692
elephant,89,252,0.829,0.913,0.903,0.754
bear,49,71,0.903,0.93,0.958,0.821
zebra,85,266,0.879,0.887,0.94,0.782
giraffe,101,232,0.927,0.909,0.939,0.782
backpack,228,371,0.592,0.34,0.399,0.231
umbrella,174,407,0.695,0.676,0.73,0.532
handbag,292,540,0.589,0.335,0.411,0.253
tie,145,252,0.75,0.544,0.634,0.46
suitcase,105,299,0.709,0.669,0.747,0.547
frisbee,84,115,0.884,0.87,0.91,0.741
skis,120,241,0.726,0.538,0.61,0.378
snowboard,49,69,0.711,0.551,0.645,0.488
sports ball,169,260,0.785,0.619,0.686,0.501
kite,91,327,0.714,0.651,0.701,0.504
baseball bat,97,145,0.795,0.662,0.731,0.498
baseball glove,100,148,0.82,0.622,0.707,0.456
skateboard,127,179,0.875,0.849,0.866,0.666
surfboard,149,267,0.82,0.637,0.727,0.502
tennis racket,167,225,0.876,0.878,0.91,0.663
bottle,379,1013,0.694,0.552,0.644,0.463
wine glass,110,341,0.784,0.572,0.676,0.469
cup,390,895,0.689,0.609,0.68,0.525
fork,155,215,0.705,0.623,0.699,0.531
knife,181,325,0.678,0.389,0.491,0.328
spoon,153,253,0.609,0.412,0.45,0.334
bowl,314,623,0.65,0.608,0.65,0.514
banana,103,370,0.612,0.383,0.473,0.317
apple,76,236,0.536,0.332,0.348,0.252
sandwich,98,177,0.664,0.592,0.621,0.49
orange,85,285,0.538,0.351,0.436,0.341
broccoli,71,312,0.561,0.369,0.441,0.276
carrot,81,365,0.483,0.348,0.4,0.264
hot dog,51,125,0.707,0.472,0.569,0.447
pizza,153,284,0.763,0.738,0.795,0.633
donut,62,328,0.759,0.588,0.711,0.577
cake,124,310,0.682,0.61,0.684,0.479
chair,580,1771,0.697,0.509,0.604,0.423
couch,195,261,0.661,0.628,0.689,0.551
potted plant,172,342,0.609,0.532,0.548,0.352
bed,149,163,0.698,0.687,0.748,0.57
dining table,501,695,0.591,0.505,0.523,0.383
toilet,149,179,0.786,0.799,0.865,0.722
tv,207,288,0.829,0.771,0.86,0.682
laptop,183,231,0.808,0.803,0.868,0.752
mouse,88,106,0.848,0.802,0.858,0.674
remote,145,283,0.723,0.569,0.666,0.464
keyboard,106,153,0.747,0.66,0.784,0.618
cell phone,214,262,0.711,0.626,0.674,0.489
microwave,54,55,0.792,0.891,0.885,0.716
oven,115,143,0.662,0.563,0.632,0.471
toaster,8,9,0.543,0.661,0.495,0.386
sink,187,225,0.692,0.622,0.681,0.478
refrigerator,101,126,0.797,0.786,0.831,0.722
book,230,1129,0.603,0.198,0.332,0.197
clock,204,267,0.82,0.738,0.779,0.557
vase,137,274,0.666,0.588,0.662,0.49
scissors,28,36,0.752,0.472,0.535,0.453
teddy bear,94,190,0.763,0.676,0.745,0.626
hair drier,9,11,0.686,0.182,0.263,0.208
toothbrush,34,57,0.598,0.456,0.492,0.386
