Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.716,0.61,0.667,0.501
person,2693,10777,0.821,0.745,0.829,0.617
bicycle,149,314,0.742,0.525,0.626,0.402
car,535,1918,0.765,0.637,0.713,0.497
motorcycle,159,367,0.811,0.68,0.793,0.547
airplane,97,143,0.84,0.884,0.925,0.776
bus,189,283,0.85,0.784,0.864,0.75
train,157,190,0.88,0.888,0.938,0.769
truck,250,414,0.656,0.51,0.604,0.442
boat,121,424,0.731,0.469,0.572,0.332
traffic light,191,634,0.723,0.483,0.568,0.318
fire hydrant,86,101,0.887,0.842,0.901,0.749
stop sign,69,75,0.818,0.72,0.795,0.716
parking meter,37,60,0.774,0.633,0.693,0.54
bench,235,411,0.639,0.387,0.455,0.328
bird,125,427,0.73,0.493,0.58,0.404
cat,184,202,0.877,0.906,0.935,0.786
dog,177,218,0.828,0.821,0.848,0.739
horse,128,272,0.84,0.809,0.894,0.706
sheep,65,354,0.761,0.792,0.818,0.625
cow,87,372,0.85,0.761,0.85,0.659
elephant,89,252,0.793,0.893,0.885,0.724
bear,49,71,0.919,0.887,0.931,0.803
zebra,85,266,0.863,0.865,0.929,0.765
giraffe,101,232,0.93,0.922,0.946,0.783
backpack,228,371,0.562,0.286,0.357,0.209
umbrella,174,407,0.702,0.637,0.703,0.501
handbag,292,540,0.597,0.281,0.355,0.212
tie,145,252,0.761,0.532,0.605,0.411
suitcase,105,299,0.723,0.582,0.703,0.497
frisbee,84,115,0.837,0.851,0.88,0.708
skis,120,241,0.697,0.476,0.521,0.317
snowboard,49,69,0.682,0.493,0.562,0.442
sports ball,169,260,0.822,0.596,0.668,0.478
kite,91,327,0.689,0.606,0.663,0.485
baseball bat,97,145,0.677,0.6,0.683,0.442
baseball glove,100,148,0.758,0.608,0.679,0.434
skateboard,127,179,0.856,0.793,0.83,0.623
surfboard,149,267,0.823,0.618,0.713,0.477
tennis racket,167,225,0.876,0.844,0.875,0.638
bottle,379,1013,0.707,0.56,0.635,0.451
wine glass,110,341,0.746,0.55,0.649,0.438
cup,390,895,0.688,0.6,0.657,0.501
fork,155,215,0.704,0.586,0.658,0.484
knife,181,325,0.577,0.338,0.419,0.278
spoon,153,253,0.554,0.356,0.42,0.296
bowl,314,623,0.654,0.581,0.632,0.487
banana,103,370,0.584,0.349,0.444,0.297
apple,76,236,0.478,0.297,0.324,0.233
sandwich,98,177,0.642,0.567,0.599,0.477
orange,85,285,0.525,0.389,0.438,0.342
broccoli,71,312,0.579,0.394,0.457,0.267
carrot,81,365,0.462,0.397,0.379,0.248
hot dog,51,125,0.72,0.504,0.574,0.441
pizza,153,284,0.753,0.736,0.779,0.613
donut,62,328,0.686,0.585,0.649,0.525
cake,124,310,0.673,0.552,0.63,0.429
chair,580,1771,0.662,0.475,0.568,0.389
couch,195,261,0.691,0.594,0.687,0.535
potted plant,172,342,0.61,0.538,0.543,0.349
bed,149,163,0.676,0.65,0.717,0.533
dining table,501,695,0.611,0.491,0.516,0.366
toilet,149,179,0.794,0.788,0.865,0.722
tv,207,288,0.784,0.758,0.82,0.651
laptop,183,231,0.779,0.758,0.823,0.716
mouse,88,106,0.861,0.802,0.858,0.665
remote,145,283,0.677,0.509,0.587,0.393
keyboard,106,153,0.672,0.643,0.754,0.593
cell phone,214,262,0.678,0.576,0.617,0.436
microwave,54,55,0.714,0.818,0.837,0.696
oven,115,143,0.634,0.566,0.607,0.454
toaster,8,9,0.595,0.778,0.658,0.458
sink,187,225,0.67,0.604,0.635,0.447
refrigerator,101,126,0.749,0.762,0.808,0.69
book,230,1129,0.583,0.189,0.302,0.174
clock,204,267,0.762,0.727,0.772,0.565
vase,137,274,0.663,0.609,0.62,0.451
scissors,28,36,0.67,0.417,0.448,0.375
teddy bear,94,190,0.741,0.692,0.743,0.586
hair drier,9,11,0.329,0.0909,0.0813,0.0443
toothbrush,34,57,0.552,0.475,0.482,0.349
