Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.633,0.475,0.521,0.371
person,2693,10777,0.754,0.673,0.745,0.514
bicycle,149,314,0.687,0.392,0.457,0.265
car,535,1918,0.646,0.515,0.561,0.364
motorcycle,159,367,0.71,0.58,0.655,0.414
airplane,97,143,0.814,0.766,0.832,0.653
bus,189,283,0.746,0.643,0.739,0.62
train,157,190,0.798,0.77,0.834,0.646
truck,250,414,0.549,0.399,0.435,0.293
boat,121,424,0.583,0.3,0.377,0.21
traffic light,191,634,0.644,0.345,0.409,0.211
fire hydrant,86,101,0.85,0.703,0.774,0.609
stop sign,69,75,0.695,0.64,0.692,0.63
parking meter,37,60,0.631,0.5,0.558,0.441
bench,235,411,0.57,0.258,0.296,0.193
bird,125,427,0.686,0.358,0.425,0.278
cat,184,202,0.776,0.824,0.856,0.652
dog,177,218,0.656,0.701,0.729,0.591
horse,128,272,0.7,0.653,0.693,0.525
sheep,65,354,0.609,0.667,0.662,0.46
cow,87,372,0.697,0.601,0.682,0.487
elephant,89,252,0.702,0.833,0.821,0.629
bear,49,71,0.847,0.775,0.842,0.689
zebra,85,266,0.808,0.797,0.882,0.659
giraffe,101,232,0.857,0.828,0.885,0.683
backpack,228,371,0.489,0.156,0.197,0.1
umbrella,174,407,0.631,0.504,0.542,0.359
handbag,292,540,0.479,0.126,0.169,0.0848
tie,145,252,0.686,0.361,0.429,0.268
suitcase,105,299,0.566,0.431,0.502,0.342
frisbee,84,115,0.748,0.774,0.767,0.584
skis,120,241,0.609,0.323,0.366,0.188
snowboard,49,69,0.483,0.319,0.388,0.266
sports ball,169,260,0.713,0.438,0.474,0.328
kite,91,327,0.605,0.52,0.558,0.38
baseball bat,97,145,0.585,0.386,0.403,0.216
baseball glove,100,148,0.669,0.473,0.512,0.302
skateboard,127,179,0.721,0.608,0.663,0.451
surfboard,149,267,0.624,0.473,0.507,0.309
tennis racket,167,225,0.702,0.618,0.671,0.397
bottle,379,1013,0.612,0.387,0.454,0.298
wine glass,110,341,0.659,0.352,0.42,0.27
cup,390,895,0.584,0.443,0.488,0.35
fork,155,215,0.583,0.318,0.389,0.263
knife,181,325,0.505,0.163,0.174,0.106
spoon,153,253,0.41,0.146,0.16,0.0988
bowl,314,623,0.589,0.494,0.529,0.39
banana,103,370,0.549,0.319,0.374,0.233
apple,76,236,0.414,0.242,0.227,0.156
sandwich,98,177,0.57,0.486,0.463,0.349
orange,85,285,0.439,0.418,0.369,0.281
broccoli,71,312,0.476,0.34,0.368,0.209
carrot,81,365,0.446,0.293,0.307,0.189
hot dog,51,125,0.76,0.432,0.497,0.364
pizza,153,284,0.658,0.613,0.658,0.503
donut,62,328,0.575,0.494,0.515,0.408
cake,124,310,0.533,0.39,0.437,0.292
chair,580,1771,0.581,0.34,0.403,0.257
couch,195,261,0.593,0.552,0.585,0.434
potted plant,172,342,0.521,0.386,0.385,0.225
bed,149,163,0.55,0.552,0.589,0.427
dining table,501,695,0.529,0.44,0.435,0.293
toilet,149,179,0.721,0.737,0.775,0.642
tv,207,288,0.771,0.635,0.715,0.553
laptop,183,231,0.682,0.662,0.699,0.58
mouse,88,106,0.634,0.651,0.708,0.527
remote,145,283,0.43,0.223,0.27,0.16
keyboard,106,153,0.595,0.604,0.65,0.482
cell phone,214,262,0.548,0.351,0.4,0.28
microwave,54,55,0.616,0.545,0.643,0.514
oven,115,143,0.643,0.448,0.511,0.349
toaster,8,9,0.726,0.222,0.436,0.314
sink,187,225,0.568,0.444,0.508,0.337
refrigerator,101,126,0.662,0.587,0.65,0.511
book,230,1129,0.489,0.111,0.197,0.0969
clock,204,267,0.75,0.607,0.667,0.457
vase,137,274,0.588,0.453,0.453,0.321
scissors,28,36,0.689,0.333,0.332,0.278
teddy bear,94,190,0.669,0.558,0.604,0.42
hair drier,9,11,1.0,0.0,0.00492,0.00377
toothbrush,34,57,0.402,0.193,0.236,0.164
