Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.682,0.563,0.613,0.447
person,2693,10777,0.789,0.716,0.794,0.573
bicycle,149,314,0.708,0.449,0.566,0.342
car,535,1918,0.716,0.596,0.657,0.441
motorcycle,159,367,0.773,0.651,0.733,0.479
airplane,97,143,0.845,0.846,0.911,0.738
bus,189,283,0.813,0.754,0.818,0.701
train,157,190,0.835,0.847,0.891,0.69
truck,250,414,0.612,0.449,0.543,0.387
boat,121,424,0.637,0.409,0.475,0.266
traffic light,191,634,0.73,0.451,0.524,0.275
fire hydrant,86,101,0.881,0.762,0.844,0.683
stop sign,69,75,0.803,0.72,0.761,0.683
parking meter,37,60,0.699,0.6,0.669,0.509
bench,235,411,0.65,0.358,0.383,0.265
bird,125,427,0.671,0.454,0.518,0.347
cat,184,202,0.856,0.883,0.889,0.728
dog,177,218,0.745,0.778,0.802,0.672
horse,128,272,0.796,0.739,0.79,0.62
sheep,65,354,0.669,0.747,0.74,0.546
cow,87,372,0.751,0.694,0.747,0.564
elephant,89,252,0.738,0.845,0.84,0.671
bear,49,71,0.842,0.859,0.895,0.741
zebra,85,266,0.844,0.856,0.908,0.717
giraffe,101,232,0.882,0.871,0.917,0.732
backpack,228,371,0.518,0.245,0.291,0.162
umbrella,174,407,0.688,0.59,0.645,0.443
handbag,292,540,0.547,0.235,0.293,0.161
tie,145,252,0.712,0.472,0.533,0.343
suitcase,105,299,0.64,0.569,0.643,0.445
frisbee,84,115,0.836,0.84,0.883,0.696
skis,120,241,0.667,0.407,0.478,0.258
snowboard,49,69,0.614,0.464,0.531,0.393
sports ball,169,260,0.74,0.535,0.582,0.422
kite,91,327,0.648,0.596,0.642,0.461
baseball bat,97,145,0.624,0.539,0.551,0.336
baseball glove,100,148,0.74,0.588,0.626,0.385
skateboard,127,179,0.808,0.743,0.782,0.573
surfboard,149,267,0.771,0.566,0.62,0.411
tennis racket,167,225,0.796,0.747,0.787,0.537
bottle,379,1013,0.657,0.506,0.565,0.387
wine glass,110,341,0.709,0.475,0.572,0.371
cup,390,895,0.648,0.552,0.597,0.437
fork,155,215,0.677,0.459,0.561,0.388
knife,181,325,0.514,0.258,0.315,0.196
spoon,153,253,0.49,0.277,0.29,0.188
bowl,314,623,0.631,0.579,0.608,0.455
banana,103,370,0.552,0.341,0.41,0.267
apple,76,236,0.442,0.272,0.248,0.18
sandwich,98,177,0.535,0.486,0.528,0.398
orange,85,285,0.487,0.372,0.381,0.294
broccoli,71,312,0.502,0.365,0.389,0.23
carrot,81,365,0.459,0.373,0.353,0.228
hot dog,51,125,0.668,0.432,0.518,0.411
pizza,153,284,0.743,0.69,0.731,0.564
donut,62,328,0.597,0.552,0.564,0.449
cake,124,310,0.628,0.535,0.564,0.391
chair,580,1771,0.651,0.425,0.507,0.337
couch,195,261,0.639,0.613,0.656,0.5
potted plant,172,342,0.537,0.427,0.463,0.286
bed,149,163,0.607,0.62,0.647,0.463
dining table,501,695,0.57,0.475,0.484,0.335
toilet,149,179,0.773,0.777,0.837,0.678
tv,207,288,0.725,0.708,0.777,0.606
laptop,183,231,0.744,0.753,0.775,0.649
mouse,88,106,0.767,0.726,0.79,0.613
remote,145,283,0.624,0.413,0.497,0.31
keyboard,106,153,0.67,0.649,0.73,0.556
cell phone,214,262,0.589,0.481,0.531,0.37
microwave,54,55,0.685,0.712,0.767,0.617
oven,115,143,0.639,0.558,0.606,0.412
toaster,8,9,0.621,0.731,0.82,0.608
sink,187,225,0.625,0.538,0.606,0.398
refrigerator,101,126,0.794,0.673,0.775,0.644
book,230,1129,0.536,0.162,0.257,0.137
clock,204,267,0.713,0.67,0.714,0.503
vase,137,274,0.61,0.536,0.542,0.388
scissors,28,36,0.671,0.389,0.434,0.35
teddy bear,94,190,0.741,0.632,0.676,0.515
hair drier,9,11,1.0,0.0,0.114,0.0511
toothbrush,34,57,0.472,0.368,0.343,0.24
