Class,Images,Instances,P,R,mAP50,mAP50-95
all,5000,36335,0.737,0.647,0.707,0.54
person,2693,10777,0.827,0.769,0.849,0.644
bicycle,149,314,0.732,0.583,0.665,0.432
car,535,1918,0.756,0.682,0.753,0.537
motorcycle,159,367,0.767,0.717,0.791,0.56
airplane,97,143,0.833,0.874,0.928,0.791
bus,189,283,0.881,0.813,0.886,0.778
train,157,190,0.915,0.911,0.956,0.793
truck,250,414,0.686,0.572,0.652,0.49
boat,121,424,0.704,0.521,0.597,0.357
traffic light,191,634,0.708,0.508,0.591,0.337
fire hydrant,86,101,0.915,0.851,0.923,0.769
stop sign,69,75,0.807,0.725,0.811,0.733
parking meter,37,60,0.764,0.667,0.72,0.563
bench,235,411,0.633,0.458,0.497,0.37
bird,125,427,0.749,0.53,0.635,0.44
cat,184,202,0.917,0.928,0.959,0.826
dog,177,218,0.828,0.839,0.861,0.76
horse,128,272,0.87,0.884,0.923,0.738
sheep,65,354,0.746,0.82,0.836,0.654
cow,87,372,0.822,0.801,0.874,0.691
elephant,89,252,0.811,0.921,0.901,0.762
bear,49,71,0.883,0.915,0.947,0.812
zebra,85,266,0.847,0.883,0.935,0.78
giraffe,101,232,0.911,0.922,0.952,0.806
backpack,228,371,0.578,0.377,0.411,0.247
umbrella,174,407,0.708,0.696,0.732,0.54
handbag,292,540,0.571,0.37,0.416,0.258
tie,145,252,0.82,0.58,0.675,0.485
suitcase,105,299,0.725,0.689,0.759,0.547
frisbee,84,115,0.889,0.902,0.927,0.758
skis,120,241,0.763,0.534,0.601,0.366
snowboard,49,69,0.74,0.577,0.656,0.515
sports ball,169,260,0.797,0.608,0.681,0.503
kite,91,327,0.695,0.633,0.7,0.518
baseball bat,97,145,0.768,0.697,0.77,0.521
baseball glove,100,148,0.77,0.649,0.722,0.468
skateboard,127,179,0.869,0.849,0.856,0.672
surfboard,149,267,0.838,0.678,0.766,0.536
tennis racket,167,225,0.879,0.876,0.913,0.68
bottle,379,1013,0.721,0.566,0.645,0.47
wine glass,110,341,0.78,0.594,0.68,0.477
cup,390,895,0.689,0.611,0.695,0.546
fork,155,215,0.69,0.651,0.712,0.544
knife,181,325,0.65,0.428,0.503,0.334
spoon,153,253,0.58,0.421,0.466,0.345
bowl,314,623,0.671,0.61,0.659,0.524
banana,103,370,0.585,0.374,0.46,0.313
apple,76,236,0.56,0.329,0.38,0.267
sandwich,98,177,0.655,0.605,0.625,0.497
orange,85,285,0.589,0.372,0.466,0.366
broccoli,71,312,0.575,0.39,0.452,0.283
carrot,81,365,0.513,0.351,0.391,0.265
hot dog,51,125,0.735,0.544,0.638,0.502
pizza,153,284,0.763,0.736,0.801,0.635
donut,62,328,0.77,0.583,0.701,0.567
cake,124,310,0.707,0.603,0.691,0.479
chair,580,1771,0.683,0.537,0.623,0.439
couch,195,261,0.654,0.651,0.701,0.557
potted plant,172,342,0.623,0.56,0.586,0.387
bed,149,163,0.708,0.686,0.751,0.578
dining table,501,695,0.583,0.521,0.534,0.389
toilet,149,179,0.825,0.81,0.878,0.742
tv,207,288,0.834,0.805,0.858,0.686
laptop,183,231,0.82,0.827,0.875,0.766
mouse,88,106,0.813,0.811,0.862,0.697
remote,145,283,0.712,0.593,0.672,0.475
keyboard,106,153,0.753,0.693,0.792,0.631
cell phone,214,262,0.721,0.582,0.655,0.476
microwave,54,55,0.75,0.873,0.859,0.716
oven,115,143,0.694,0.615,0.672,0.502
toaster,8,9,0.519,0.778,0.75,0.544
sink,187,225,0.661,0.641,0.692,0.491
refrigerator,101,126,0.795,0.794,0.857,0.744
book,230,1129,0.566,0.185,0.321,0.19
clock,204,267,0.761,0.73,0.779,0.564
vase,137,274,0.69,0.591,0.642,0.459
scissors,28,36,0.75,0.472,0.556,0.463
teddy bear,94,190,0.731,0.7,0.773,0.628
hair drier,9,11,0.69,0.182,0.273,0.197
toothbrush,34,57,0.665,0.558,0.611,0.432
